model,voltage_kv_mm,parameter,n,mle,se,lower_95,upper_95,log_likelihood
Separate sigma,100.3,mu,8,7.873560874872236,0.27307175517062826,7.338350069542666,8.408771680201808,-72.2735960002901
Separate sigma,100.3,sigma,8,0.7723635593266558,0.1743037899535875,0.4307344086487898,1.1139927100045217,
Separate sigma,122.4,mu,8,6.678110429230705,0.32234122191118547,6.046333243552149,7.309887614909262,-64.03700107306499
Separate sigma,122.4,sigma,8,0.911718655477428,0.2057528674186122,0.5084504456211034,1.3149868653337526,
Separate sigma,157.1,mu,10,5.799013446934955,0.34662733609633983,5.119636352129069,6.478390541740842,-73.09739491117229
Separate sigma,157.1,sigma,10,1.096131881341132,0.2261672922138595,0.6528521341210212,1.539411628561243,
Separate sigma,219.0,mu,10,4.419005637793399,0.39679234478726655,3.641306932669157,5.1967043429176405,-60.64894521366776
Separate sigma,219.0,sigma,10,1.2547675676466021,0.2588989408694008,0.7473349679070115,1.762200167386193,
Separate sigma,361.4,mu,10,-0.18356406696004604,0.3175091569930338,-0.8058705794280661,0.43874244550797403,-12.394183925993085
Separate sigma,361.4,sigma,10,1.0040521140579655,0.20716827212456523,0.5980097619544245,1.4100944661615065,
